date,k_max_helsinki,ak_helsinki,n_missing_k
1845-12-20,2.0,2.0,0
1845-12-21,3.0,2.0,0
1845-12-22,1.0,1.0,0
1845-12-23,2.0,1.0,0
1845-12-24,2.0,3.0,0
1845-12-25,0.0,0.0,0
1845-12-26,1.0,1.0,0
1845-12-27,3.0,4.0,0
1845-12-28,1.0,1.0,0
1845-12-29,1.0,0.0,0
1845-12-30,3.0,6.0,0
1845-12-31,2.0,2.0,0
1846-01-01,4.0,5.0,0
1846-01-02,2.0,1.0,0
1846-01-03,2.0,2.0,0
1846-01-04,4.0,5.0,0
1846-01-05,3.0,2.0,0
1846-01-06,4.0,6.0,0
1846-01-07,4.0,9.0,0
1846-01-08,3.0,10.0,0
1846-01-09,2.0,1.0,0
1846-01-10,2.0,2.0,0
1846-01-11,1.0,2.0,0
1846-01-12,3.0,7.0,0
1846-01-13,2.0,3.0,0
1846-01-14,5.0,17.0,0
1846-01-15,3.0,9.0,0
1846-01-16,5.0,13.0,0
1846-01-17,5.0,10.0,0
1846-01-18,3.0,6.0,0
1846-01-19,3.0,3.0,0
1846-01-20,1.0,0.0,0
1846-01-21,3.0,4.0,0
1846-01-22,1.0,3.0,0
1846-01-23,6.0,12.0,0
1846-01-24,5.0,21.0,0
1846-01-25,5.0,11.0,0
1846-01-26,1.0,0.0,0
1846-01-27,2.0,3.0,0
1846-01-28,3.0,7.0,0
1846-01-29,5.0,10.0,0
1846-01-30,4.0,9.0,0
1846-01-31,2.0,4.0,0
1846-02-01,3.0,8.0,0
1846-02-02,3.0,5.0,0
1846-02-03,2.0,4.0,0
1846-02-04,2.0,3.0,0
1846-02-05,2.0,2.0,0
1846-02-06,0.0,0.0,0
1846-02-07,3.0,8.0,0
1846-02-08,4.0,6.0,0
1846-02-09,5.0,11.0,0
1846-02-10,3.0,5.0,0
1846-02-11,2.0,2.0,0
1846-02-12,3.0,5.0,0
1846-02-13,1.0,2.0,0
1846-02-14,4.0,6.0,0
1846-02-15,4.0,11.0,0
1846-02-16,5.0,18.0,0
1846-02-17,4.0,10.0,0
1846-02-18,4.0,9.0,0
1846-02-19,2.0,1.0,0
1846-02-20,1.0,2.0,0
1846-02-21,4.0,7.0,0
1846-02-22,2.0,2.0,0
1846-02-23,2.0,2.0,0
1846-02-24,1.0,1.0,0
1846-02-25,4.0,9.0,0
1846-02-26,5.0,17.0,0
1846-02-27,4.0,11.0,0
1846-02-28,2.0,5.0,0
1846-03-01,3.0,5.0,0
1846-03-02,3.0,4.0,0
1846-03-03,2.0,3.0,0
1846-03-04,3.0,8.0,0
1846-03-05,3.0,5.0,0
1846-03-06,1.0,2.0,0
1846-03-07,2.0,3.0,0
1846-03-08,1.0,0.0,0
1846-03-09,2.0,2.0,0
1846-03-10,1.0,1.0,0
1846-03-11,3.0,4.0,0
1846-03-12,3.0,6.0,0
1846-03-13,5.0,14.0,0
1846-03-14,5.0,18.0,0
1846-03-15,5.0,20.0,0
1846-03-16,6.0,18.0,0
1846-03-17,5.0,16.0,0
1846-03-18,4.0,16.0,0
1846-03-19,3.0,6.0,0
1846-03-20,3.0,4.0,0
1846-03-21,3.0,9.0,0
1846-03-22,3.0,7.0,0
1846-03-23,3.0,5.0,0
1846-03-24,3.0,8.0,0
1846-03-25,2.0,4.0,0
1846-03-26,4.0,14.0,0
1846-03-27,4.0,10.0,0
1846-03-28,3.0,7.0,0
1846-03-29,6.0,20.0,0
1846-03-30,4.0,13.0,0
1846-03-31,2.0,4.0,0
1846-04-01,4.0,9.0,0
1846-04-02,4.0,8.0,0
1846-04-03,4.0,7.0,0
1846-04-04,3.0,7.0,0
1846-04-05,3.0,10.0,0
1846-04-06,5.0,25.0,0
1846-04-07,5.0,18.0,0
1846-04-08,4.0,18.0,0
1846-04-09,3.0,7.0,0
1846-04-10,5.0,10.0,0
1846-04-11,5.0,16.0,0
1846-04-12,3.0,5.0,0
1846-04-13,5.0,20.0,0
1846-04-14,4.0,16.0,0
1846-04-15,4.0,11.0,0
1846-04-16,5.0,28.0,0
1846-04-17,6.0,23.0,0
1846-04-18,3.0,6.0,0
1846-04-19,4.0,10.0,0
1846-04-20,5.0,15.0,0
1846-04-21,2.0,5.0,0
1846-04-22,3.0,7.0,0
1846-04-23,3.0,7.0,0
1846-04-24,3.0,11.0,0
1846-04-25,5.0,18.0,0
1846-04-26,5.0,19.0,0
1846-04-27,4.0,9.0,0
1846-04-28,4.0,5.0,0
1846-04-29,3.0,5.0,0
1846-04-30,5.0,11.0,0
1846-05-01,3.0,4.0,0
1846-05-02,3.0,4.0,0
1846-05-03,5.0,13.0,0
1846-05-04,5.0,27.0,0
1846-05-05,5.0,16.0,0
1846-05-06,4.0,9.0,0
1846-05-07,4.0,12.0,0
1846-05-08,4.0,8.0,0
1846-05-09,4.0,16.0,0
1846-05-10,5.0,16.0,0
1846-05-11,3.0,8.0,0
1846-05-12,6.0,55.0,0
1846-05-13,7.0,30.0,0
1846-05-14,5.0,17.0,0
1846-05-15,3.0,8.0,0
1846-05-16,3.0,6.0,0
1846-05-17,3.0,5.0,0
1846-05-18,3.0,5.0,0
1846-05-19,4.0,16.0,0
1846-05-20,5.0,14.0,0
1846-05-21,6.0,26.0,0
1846-05-22,4.0,10.0,0
1846-05-23,6.0,20.0,0
1846-05-24,5.0,21.0,0
1846-05-25,5.0,16.0,0
1846-05-26,3.0,10.0,0
1846-05-27,3.0,8.0,0
1846-05-28,3.0,3.0,0
1846-05-29,3.0,4.0,0
1846-05-30,4.0,17.0,0
1846-05-31,5.0,21.0,0
1846-06-01,4.0,13.0,0
1846-06-02,5.0,24.0,0
1846-06-03,4.0,17.0,0
1846-06-04,3.0,6.0,0
1846-06-05,3.0,8.0,0
1846-06-06,4.0,14.0,0
1846-06-07,4.0,13.0,0
1846-06-08,3.0,6.0,0
1846-06-09,5.0,27.0,0
1846-06-10,4.0,12.0,0
1846-06-11,2.0,3.0,0
1846-06-12,4.0,9.0,0
1846-06-13,7.0,26.0,0
1846-06-14,4.0,13.0,0
1846-06-15,6.0,36.0,0
1846-06-16,5.0,31.0,0
1846-06-17,6.0,23.0,0
1846-06-18,4.0,10.0,0
1846-06-19,5.0,16.0,0
1846-06-20,2.0,4.0,0
1846-06-21,4.0,11.0,0
1846-06-22,5.0,22.0,0
1846-06-23,5.0,22.0,0
1846-06-24,5.0,10.0,0
1846-06-25,4.0,11.0,0
1846-06-26,3.0,7.0,0
1846-06-27,4.0,11.0,0
1846-06-28,5.0,13.0,0
1846-06-29,3.0,13.0,0
1846-06-30,3.0,8.0,0
1846-07-01,4.0,12.0,0
1846-07-02,5.0,19.0,0
1846-07-03,5.0,17.0,0
1846-07-04,5.0,16.0,0
1846-07-05,4.0,18.0,0
1846-07-06,6.0,25.0,0
1846-07-07,5.0,20.0,0
1846-07-08,4.0,14.0,0
1846-07-09,3.0,9.0,0
1846-07-10,3.0,7.0,0
1846-07-11,5.0,17.0,0
1846-07-12,5.0,27.0,0
1846-07-13,6.0,40.0,0
1846-07-14,4.0,11.0,0
1846-07-15,5.0,18.0,0
1846-07-16,5.0,14.0,0
1846-07-17,5.0,15.0,0
1846-07-18,4.0,10.0,0
1846-07-19,4.0,11.0,0
1846-07-20,4.0,14.0,0
1846-07-21,3.0,8.0,0
