event_index,t_days,year,ssn_at_event,mu_at_event_per_year,p_background_v5
78,9379.610974191215,1957.6799752886823,274.6686695808886,4.978128196804863,0.09653407874913848
79,9387.748097454361,1957.7022535180133,276.41298149279226,5.004870982413001,0.8945147592933397
80,9396.717522258437,1957.7268104647733,277.79074464279086,5.025975720685968,0.9617390621269469
81,9397.556436837349,1957.7291072877135,277.90739514985637,5.027761847270592,0.12101066934998103
82,9403.656387550147,1957.745808042574,278.75558918725864,5.040745744487545,0.7181882989776719
83,9538.068420516907,1958.113808132832,282.0086131473022,5.09048595402017,1.0
84,9647.611722127062,1958.4137213473705,268.6128824830697,4.885080428082292,1.0
85,9676.66696983717,1958.4932702801839,266.2590734293261,4.848827222125342,0.9999998959213848
86,9685.070987955392,1958.516279227804,265.5916220294125,4.838538234014266,0.9444414236730196
87,9743.803317871701,1958.6770795834955,259.9482964787205,4.751384452100557,0.9999999999999994
88,9744.719785985062,1958.679588736441,260.01585059648517,4.752429445029792,0.12065110976013765
89,9946.552841987586,1959.2321775276866,243.67416023141405,4.4983940212656455,1.0
90,9947.152510555456,1959.2338193307473,243.4826165410156,4.495401211556382,0.0957789314009517
91,9993.084179312436,1959.359573386208,231.76865959342393,4.311673788187744,0.999999999996075
92,10057.630185304835,1959.5362907195204,223.5388256793844,4.181740918142738,1.0
93,10059.92902867217,1959.5425846096432,222.79144669530243,4.16990522388186,0.22608039916519893
94,10060.268558170912,1959.5435141907485,222.65869746595416,4.167802333828703,0.06334662756512904
95,10089.563255187993,1959.6237187000356,211.2695195951826,3.9866538153421938,0.999999784109725
96,10090.2801600181,1959.625681478489,211.16526945754768,3.9849888630776618,0.09192345555060236
97,10193.996126735025,1959.909640319603,192.27171062525142,3.681083665771769,1.0
98,10317.491962422615,1960.247753490548,170.33147141448342,3.3223215856929342,1.0
99,10318.197138856567,1960.2496841584027,170.17535605589785,3.319744315235679,0.077233697166485
100,10347.219263817518,1960.3291424060712,165.79806662929195,3.247331349904475,0.9999997402597758
101,10355.483303599698,1960.3517681138937,165.15221695280144,3.236622427899256,0.9122410740334709
102,10423.653961581025,1960.5384092035072,153.1922396216181,3.0371170789846795,1.0
103,10424.446865441807,1960.5405800559665,152.97852386806622,3.0335307933086093,0.07485175179264551
104,10474.26799215314,1960.676982866949,138.52177640925888,2.789082165257293,0.9999999999995227
105,10506.016612173295,1960.7639058512616,133.41040999277632,2.7017318161654607,0.9999999667905518
106,10507.91809115695,1960.7691118169937,133.13201868346815,2.6969596574773504,0.1277322640679933
107,10543.818836884595,1960.8674027019429,124.85233431413161,2.5543121357444227,0.9999999968253938
108,10544.247801622309,1960.8685771433875,124.7430535717239,2.5524198480982077,0.05114894404967295
109,10547.999259423761,1960.8788480750823,123.97297171253486,2.53907799721688,0.20420770555223827
110,10562.123941754411,1960.9175193477192,121.85525916336948,2.5023221470677517,0.9966481666183359
111,10786.481479004926,1961.5317768076795,75.16585079924702,1.6625099230263616,1.0
112,10787.115921408717,1961.533513816314,75.05944090976834,1.6605178285787139,0.03846961576842104
113,10800.669254968678,1961.5706208212696,74.47759589031463,1.6496174416474974,0.9895315944840992
114,10865.615052993357,1961.7484327255122,73.58904138344413,1.6329457971245682,1.0
115,10866.437185345627,1961.75068360122,73.56964087919715,1.6325814482435206,0.0424819164178751
116,10893.865191807907,1961.8257773903024,72.41168978245675,1.610807782319284,0.9999985855055717
117,11587.380085668196,1963.7245176883455,37.31449444734884,0.9190952235790578,1.0
118,11588.416434074197,1963.7273550556447,37.28320188862825,0.9184428610375723,0.027837588738048428
119,11624.853105533717,1963.8271132252805,35.661078413290205,0.8845089359629325,0.9999999923991145
120,12664.436586366668,1966.6733376765685,86.29298005304327,1.8685535486503821,1.0
121,12665.687110325547,1966.6767614245737,86.67862199867741,1.8756183905233137,0.06286845600331874
122,12830.825543871735,1967.128885814844,111.83255262665095,2.32699573730756,1.0
123,12928.242435201371,1967.3955987274508,124.79219348916192,2.5532707784623727,1.0
124,12929.107206939507,1967.3979663434347,125.00467184669576,2.556949563170713,0.06665339641415519
125,12940.702263994861,1967.4297118795205,127.85363021337966,2.606183483237284,0.9782656747114403
126,13311.531814177379,1968.4449878553796,151.96110661057804,3.016447307542891,1.0
127,13453.17962022769,1968.83279841267,155.94210644632045,3.0831934332520174,1.0
128,13454.421682308472,1968.8361989933155,156.1151295023351,3.0860883850930274,0.09892384960812577
129,13547.971661557667,1969.0923248776392,154.39348972636427,3.0572605470242684,1.0
130,13596.24840288524,1969.224499391883,151.93325879888403,3.0159794673983322,0.999999999999258
131,13597.011964280056,1969.2265899090487,151.87467837280883,3.01499527972383,0.07314254141350952
132,13787.238700639908,1969.747402328925,149.3301514031382,2.972188980545997,1.0
133,13946.552852499784,1970.183580704996,149.09967845203423,2.968306248613371,1.0
134,13990.890617996465,1970.3049708911608,148.61363991223686,2.9601150282285,0.9999999999905472
135,14108.373721221076,1970.6266220977989,142.90060706857298,2.8635201992222385,1.0
136,14227.222250629071,1970.9520116375882,119.01751116559537,2.4529146072986943,1.0
137,14779.082857696385,1972.4629236350345,98.79164575421508,2.095186475406814,1.0
138,14826.981846619627,1972.594063919561,93.63858214236262,2.0023159527288374,0.9999999999985759
139,14827.119606090597,1972.594441084437,93.6295674873586,2.0021528102330985,0.03389295094227851
140,14831.91345678519,1972.6075659323346,93.3158691996967,1.996474157828388,0.26559498927164144
141,14867.687247436326,1972.7055092332275,88.4520118403669,1.9080445677577795,0.9999999961259122
142,14915.560684167047,1972.8365795596633,84.63922048365407,1.8382018320711047,0.999999999998423
143,15066.926333742063,1973.250996122497,62.692657731351574,1.4258392468889092,1.0
144,15527.956680989806,1974.513228421601,47.60697819313554,1.1295248252504089,1.0
145,15599.197796752234,1974.7082759664675,44.126411100980256,1.0592311784704926,1.0
146,16156.074607305654,1976.2329215805767,18.200973312657577,0.5006000722023698,1.0
147,16162.959421940473,1976.251771175744,18.36323173259489,0.5043744377755908,0.40080789934220484
148,16194.237169457618,1976.3374049814036,18.441882860055856,0.5062021305304802,0.9999997573739831
149,16921.035734626505,1978.3272710051376,112.59601927016517,2.3404335053268124,1.0
150,16922.600568098132,1978.3315552856895,112.89937333334825,2.345768945628377,0.09308381838230377
151,16986.78576531953,1978.5072847784245,134.3249247776378,2.7173975968095014,1.0
152,17041.04380501299,1978.6558351951073,150.48531752127425,2.991635993565745,0.9999999999999839
153,17073.227381209123,1978.7439490245288,154.63188189607325,3.0612552174732923,0.9999999778246411
154,17259.127623118533,1979.2529161481684,199.2569656232969,3.7939546170241463,1.0
155,17281.135013226616,1979.3131690984985,203.36055024678637,3.8599778247392127,0.9999879991824887
156,18000.854451876272,1981.2836535301199,207.22122527252066,3.921906096158623,1.0
157,18103.930534858377,1981.5658604650469,196.88871724251808,3.7557565727352746,1.0
158,18104.72609240537,1981.5680385829032,197.0351734929424,3.758120840721032,0.09124304309077481
159,18184.71603178168,1981.787039101387,201.17986249630704,3.8249181600550552,1.0
160,18322.61306673583,1982.1645806070796,184.8652387543403,3.5607155078426036,1.0
161,18323.963749273324,1982.168278574328,184.60149958970754,3.5564157769259572,0.11944078484216324
162,18456.60570762692,1982.5314324644132,159.72478785299862,3.1463722363494466,1.0
163,18457.29511689623,1982.5333199641238,159.58501841196068,3.144041912824061,0.07276111219046125
164,18511.68396535102,1982.682228515677,145.62573724427136,2.9096687658881386,0.9999999999999749
165,18527.626140346776,1982.7258758120377,140.44944111010454,2.821895441416042,0.9991982262370646
166,18637.00742415777,1983.0253454460171,128.47423952221274,2.616885989745687,1.0
167,18663.557975919142,1983.0980368950559,125.32886871279885,2.5625607568887476,0.9999990185406126
168,18771.775787580347,1983.3943211158942,101.35860861563258,2.1411697255980977,1.0
169,19313.126570687207,1984.8764587835378,33.99938411108403,0.8495001917716112,1.0
170,19469.0450382577,1985.303340282704,21.098427709297507,0.5672666772030496,1.0
171,19762.652849672446,1986.1071946602942,14.427217655437314,0.41123168411013294,1.0
172,19763.130338664705,1986.1085019539075,14.389972823149519,0.41033302861974214,0.008860770400416152
173,19978.706453628572,1986.6987171899482,13.764257788960785,0.39518125533937076,1.0
174,20547.45398628632,1988.2558630699145,90.7114916586538,1.9492146063283577,1.0
175,20891.508969581522,1989.197834276746,196.4366548121053,3.7484571468720347,1.0
176,20892.541385240944,1989.200660876772,196.66670193671206,3.752172026669901,0.10449513729135586
177,21081.352951068122,1989.7175987708915,208.41265642094933,3.940981661613029,1.0
178,21112.324547429653,1989.8023943803687,209.80870877773017,3.963312036667118,0.9999999627399118
179,21113.360359027472,1989.805230277967,209.83182186255237,3.9636815464937754,0.10995204425703056
180,21140.90923751703,1989.8806549966243,210.13573685175615,3.968539666239207,0.9999994939375211
181,21273.205495902697,1990.2428624117802,199.72384250663887,3.8014767302164016,1.0
182,21284.056760906886,1990.2725715562133,199.02464377776522,3.79021054157719,0.9846063979141773
183,21347.15165009513,1990.4453159482414,193.29525139860883,3.697661398343742,1.0
184,21632.370988435392,1991.2262039382215,201.80779328773096,3.835019578830776,1.0
185,21633.99390658663,1991.2306472459593,201.9217242553673,3.8368518493857393,0.14839271360452902
186,21634.984987112504,1991.2333606765571,201.99129939890247,3.837970698695815,0.07910145964657526
187,21705.367827334674,1991.42605839106,202.02726521779255,3.8385490477150563,1.0
188,21738.076297156054,1991.5156093009064,202.99048300378837,3.8540322134847664,0.9999999874201951
189,21739.288059143353,1991.5189269244172,202.99417266848985,3.8540915009602834,0.11852854709194051
190,21743.08848138984,1991.5293319134562,203.00574448206422,3.854277441880748,0.3263692882517992
191,21850.851920746856,1991.8243721307238,191.40234331156907,3.666992344137872,1.0
192,21851.32466887932,1991.8256664445703,191.27990501454397,3.665006988174909,0.0737375800847032
193,21854.90925337309,1991.835480502048,190.3515239362861,3.6499467799808287,0.25119003960017905
194,21861.846926630504,1991.854474816237,188.5547174750329,3.6207668326449904,0.8087715838697078
195,21862.89840805971,1991.8573536154954,188.28239150121036,3.6163405673424602,0.10096643301369446
196,21971.123248307293,1992.1536570795545,157.4543533971779,3.10847910917772,1.0
197,22045.911003044483,1992.3584147927295,143.2354972110795,2.869198617779598,1.0
198,22150.737509627048,1992.6454141262889,121.40711318418451,2.4945314139358503,1.0
199,22752.79921541984,1994.293769241396,50.88526372375582,1.195013155804436,1.0
200,23107.48281970669,1995.2648400265755,31.125351407420137,0.7883175341774675,1.0
201,24230.396827867007,1998.3392110276989,78.35357857884374,1.7219893835589688,1.0
202,24345.933692467876,1998.655533723389,93.59564785406255,2.001538928878072,1.0
203,24374.66909757421,1998.7342069748781,96.40018619887373,2.052181653624863,0.9999996981040241
204,24736.773893649406,1999.725595875837,152.7704699477622,3.03003877709968,1.0
205,24766.309932550175,1999.80646114319,159.1129493156084,3.136168961012698,0.9999998817774927
206,24933.72634566317,2000.2648223016104,172.88610553740506,3.364444127550984,1.0
207,24934.96574394234,2000.2682155891646,172.9957969757411,3.366250643468527,0.10678093692392342
208,24981.576229183465,2000.3958281428706,171.9325612333882,3.348732704989035,0.9999999999971757
