event_index,t_days,year,p_background,most_likely_parent
134,13990.890617996465,1970.3049708911608,0.9999999997288204,133
135,14108.373721221076,1970.6266220977989,1.0,134
136,14227.222250629071,1970.9520116375882,1.0,135
137,14779.082857696385,1972.4629236350345,1.0,136
138,14826.981846619627,1972.594063919561,0.9999999999649963,137
139,14827.119606090597,1972.594441084437,0.032858775977540736,138
140,14831.91345678519,1972.6075659323346,0.20429000639762895,139
141,14867.687247436326,1972.7055092332275,0.9999999581640862,140
142,14915.560684167047,1972.8365795596633,0.9999999999644783,141
143,15066.926333742063,1973.250996122497,1.0,142
144,15527.956680989806,1974.513228421601,1.0,143
145,15599.197796752234,1974.7082759664675,1.0,144
146,16156.074607305654,1976.2329215805767,1.0,145
147,16162.959421940473,1976.251771175744,0.6216889191235075,146
148,16194.237169457618,1976.3374049814036,0.9999994962470388,147
149,16921.035734626505,1978.3272710051376,1.0,148
150,16922.600568098132,1978.3315552856895,0.07164386673710585,149
151,16986.78576531953,1978.5072847784245,0.9999999999999958,150
152,17041.04380501299,1978.6558351951073,0.9999999999990955,151
153,17073.227381209123,1978.7439490245288,0.9999997063438603,152
154,17259.127623118533,1979.2529161481684,1.0,153
155,17281.135013226616,1979.3131690984985,0.9998980184793441,154
156,18000.854451876272,1981.2836535301199,1.0,155
157,18103.930534858377,1981.5658604650469,1.0,156
158,18104.72609240537,1981.5680385829032,0.04724725779521691,157
159,18184.71603178168,1981.787039101387,1.0,158
160,18322.61306673583,1982.1645806070796,1.0,159
161,18323.963749273324,1982.168278574328,0.06387492697939655,160
162,18456.60570762692,1982.5314324644132,1.0,161
163,18457.29511689623,1982.5333199641238,0.04457492256249276,162
164,18511.68396535102,1982.682228515677,0.9999999999985965,163
165,18527.626140346776,1982.7258758120377,0.9966776490283247,164
166,18637.00742415777,1983.0253454460171,1.0,165
167,18663.557975919142,1983.0980368950559,0.9999925139226831,166
168,18771.775787580347,1983.3943211158942,1.0,167
169,19313.126570687207,1984.8764587835378,1.0,168
170,19469.0450382577,1985.303340282704,1.0,169
171,19762.652849672446,1986.1071946602942,1.0,170
172,19763.130338664705,1986.1085019539075,0.03966485344776316,171
173,19978.706453628572,1986.6987171899482,1.0,172
174,20547.45398628632,1988.2558630699145,1.0,173
175,20891.508969581522,1989.197834276746,1.0,174
176,20892.541385240944,1989.200660876772,0.05376886717216885,175
177,21081.352951068122,1989.7175987708915,1.0,176
178,21112.324547429653,1989.8023943803687,0.9999994105614852,177
179,21113.360359027472,1989.805230277967,0.05386828190653882,178
180,21140.90923751703,1989.8806549966243,0.9999934582569521,179
181,21273.205495902697,1990.2428624117802,1.0,180
182,21284.056760906886,1990.2725715562133,0.9414210866721168,181
183,21347.15165009513,1990.4453159482414,0.9999999999999944,182
184,21632.370988435392,1991.2262039382215,1.0,183
185,21633.99390658663,1991.2306472459593,0.07389685970680034,184
186,21634.984987112504,1991.2333606765571,0.03829899152552347,185
187,21705.367827334674,1991.42605839106,0.9999999999999998,186
188,21738.076297156054,1991.5156093009064,0.9999997828364372,187
189,21739.288059143353,1991.5189269244172,0.05926252686311342,188
190,21743.08848138984,1991.5293319134562,0.1569918860643268,189
191,21850.851920746856,1991.8243721307238,1.0,190
192,21851.32466887932,1991.8256664445703,0.03956116519530593,191
193,21854.90925337309,1991.835480502048,0.12270882326287769,192
194,21861.846926630504,1991.854474816237,0.5804583682410562,193
195,21862.89840805971,1991.8573536154954,0.05318815986342479,194
196,21971.123248307293,1992.1536570795545,1.0,195
197,22045.911003044483,1992.3584147927295,1.0,196
198,22150.737509627048,1992.6454141262889,1.0,197
199,22752.79921541984,1994.293769241396,1.0,198
200,23107.48281970669,1995.2648400265755,1.0,199
201,24230.396827867007,1998.3392110276989,1.0,200
202,24345.933692467876,1998.655533723389,1.0,201
203,24374.66909757421,1998.7342069748781,0.999997868152664,202
204,24736.773893649406,1999.725595875837,1.0,203
205,24766.309932550175,1999.80646114319,0.9999986545759111,204
206,24933.72634566317,2000.2648223016104,1.0,205
207,24934.96574394234,2000.2682155891646,0.060154516389938545,206
208,24981.576229183465,2000.3958281428706,0.9999999998905733,207
209,25033.777256520185,2000.5387467666535,0.9999999999970487,208
210,25097.582326597923,2000.7134355279888,0.9999999999999962,209
211,25292.408099042183,2001.246839422429,1.0,210
212,25303.538117346507,2001.2773117518043,0.9496583552613432,211
213,25512.26832030726,2001.8487839022787,1.0,212
214,25530.973186585077,2001.8999950351406,0.9993195070082079,213
215,25710.15433646045,2002.390566287366,1.0,214
216,26081.002314635345,2003.4058927163185,1.0,215
217,26234.336275594047,2003.8256982220234,1.0,216
218,26235.73728907063,2003.829533987873,0.06562708219794547,217
219,26236.341216226698,2003.8311874503127,0.029784017731656735,218
220,26256.917293130562,2003.88752167866,0.9995305321692728,219
221,26504.247368547134,2004.5646745203208,1.0,220
222,26506.35564827848,2004.5704466756426,0.09541130361856429,221
223,26609.501784393207,2004.852845405594,1.0,222
224,26610.45309616534,2004.8554499552781,0.051445391898707254,223
225,26611.511412146934,2004.8583474665213,0.03524575088122323,224
226,26612.127567473977,2004.8600344078686,0.023494233974465876,225
227,26684.085391293087,2005.057044192452,1.0,226
228,26791.273357579157,2005.3505088503193,1.0,227
229,26798.87966335366,2005.3713337805714,0.7133079736261747,228
230,26899.349088911586,2005.6464040764176,1.0,229
231,27377.144164110046,2006.9545356991378,1.0,230
232,29288.91250277745,2012.1886721499725,1.0,-1
233,30488.889486586584,2015.4740300796348,1.0,232
234,31297.178660320507,2017.6870052301724,1.0,233
235,33320.71044036267,2023.2271333069477,1.0,-1
236,33350.638833195495,2023.3090727808228,0.9999989262607253,235
237,33351.35830534192,2023.311042588205,0.0453167903374678,236
238,33686.98380823302,2024.229935135477,1.0,237
239,33733.94475039073,2024.3585071879281,0.9999999999399769,238
240,33734.45096214802,2024.3598931201861,0.04029864635928315,239
241,33827.94188640622,2024.6158573207563,1.0,240
242,33886.09329545193,2024.7750672017849,0.9999999999999036,241
243,33887.78083988658,2024.7796874466437,0.0764800876277899,242
244,33969.59221944763,2025.0036747965712,1.0,243
245,34284.86102583831,2025.8668337463062,1.0,244
